keyword,articles tested,precision mean,precision median,precision var,recall mean,recall median,recall var,f1 mean,f1 median,f1 var,tp mean,tp median,tp var,fp mean,fp median,fp var,tn mean,tn median,tn var,fn mean,fn median,fn var
aging,204,0.652587231959,0.657558126179,0.000839679963015,0.911014364299,0.914229249012,0.00124821165492,0.725807049096,0.727776519209,0.000867465554415,0.201470588235,0.205882352941,0.000929690503652,0.0524509803922,0.0490196078431,0.000466407151096,0.447549019608,0.450980392157,0.000466407151096,0.298529411765,0.294117647059,0.000929690503652
anxiety,146,0.775122515093,0.775109535717,0.00245340999865,0.876806808688,0.881729691877,0.00236783198983,0.789667772148,0.795066316639,0.00441915308812,0.337328767123,0.342465753425,0.0023497607431,0.0705479452055,0.0684931506849,0.00102317507975,0.429452054795,0.431506849315,0.00102317507975,0.162671232877,0.157534246575,0.0023497607431
attention,480,0.661140009333,0.660100799723,0.000643823436035,0.894730137594,0.902021425334,0.000701180644677,0.742441155739,0.750951688721,0.000875264107793,0.242916666667,0.248958333333,0.00104227430556,0.0567708333333,0.0520833333333,0.000271647135417,0.443229166667,0.447916666667,0.000271647135417,0.257083333333,0.251041666667,0.00104227430556
bilingualism,168,0.670191813146,0.662609758171,0.000650723070445,0.992230001882,0.995454545455,0.00011627321243,0.780934063256,0.773798975786,0.000474278300158,0.221130952381,0.208333333333,0.000822969812925,0.00505952380952,0.00297619047619,5.05775226757e-05,0.49494047619,0.497023809524,5.05775226757e-05,0.278869047619,0.291666666667,0.000822969812925
children,198,0.726240406751,0.723827859776,0.000877022566985,0.827334584898,0.823937229437,0.00311627172926,0.71376234349,0.694553504715,0.00264857920345,0.286363636364,0.282828282828,0.000972094684216,0.0997474747475,0.103535353535,0.00109140648913,0.400252525253,0.396464646465,0.00109140648913,0.213636363636,0.217171717172,0.000972094684216
cognition,238,0.6601505779,0.65706176295,0.00111262920853,0.68182406707,0.684329170829,0.00219814042212,0.581077599565,0.579296089512,0.00306874639939,0.258823529412,0.260504201681,0.000740413812584,0.178151260504,0.174369747899,0.000802203234235,0.321848739496,0.325630252101,0.000802203234235,0.241176470588,0.239495798319,0.000740413812584
cognitive control,170,0.615699613738,0.618202705257,0.000742294659042,0.943517853792,0.945,0.0016343683476,0.717350730328,0.721438670491,0.000736448381043,0.159117647059,0.164705882353,0.00107084775087,0.0347058823529,0.0323529411765,0.000698615916955,0.465294117647,0.467647058824,0.000698615916955,0.340882352941,0.335294117647,0.00107084775087
consciousness,288,0.704507713366,0.710265299391,0.000878127731944,0.959755080238,0.957214806575,0.000171114154028,0.800712055045,0.799573307539,0.000530617269421,0.279340277778,0.28125,0.00111096040702,0.0220486111111,0.0225694444444,5.82019193673e-05,0.477951388889,0.477430555556,5.82019193673e-05,0.220659722222,0.21875,0.00111096040702
decision making,150,0.737450995611,0.732926634769,0.0016974071462,0.875660556806,0.887254901961,0.00406516061499,0.746124249066,0.76776287927,0.00497897755455,0.286666666667,0.29,0.00175555555556,0.0763333333333,0.0666666666667,0.00182877777778,0.423666666667,0.433333333333,0.00182877777778,0.213333333333,0.21,0.00175555555556
depression,190,0.78391034176,0.783320383167,0.00105287788821,0.912313996331,0.909234680905,0.00115395484473,0.821363494377,0.828323160662,0.0015037745403,0.350526315789,0.342105263158,0.00105373961219,0.0502631578947,0.05,0.00049716066482,0.449736842105,0.45,0.00049716066482,0.149473684211,0.157894736842,0.00105373961219
development,196,0.676668126077,0.682434235914,0.00513765258777,0.758268616338,0.743211969317,0.00266941359255,0.635118650215,0.648199037765,0.00405099351264,0.251020408163,0.242346938776,0.00211526447314,0.139540816327,0.15306122449,0.00100810860058,0.360459183673,0.34693877551,0.00100810860058,0.248979591837,0.257653061224,0.00211526447314
embodied cognition,176,0.63629059233,0.642454695944,0.00108394450081,0.949385333014,0.962770562771,0.00203511930554,0.730971993804,0.738274648867,0.00203685929453,0.180113636364,0.173295454545,0.00162093233471,0.0323863636364,0.0227272727273,0.000978499483471,0.467613636364,0.477272727273,0.000978499483471,0.319886363636,0.326704545455,0.00162093233471
embodiment,144,0.636525524037,0.639628903602,0.000717505394626,0.88054521721,0.89008255934,0.00356489679971,0.679318563487,0.700089263754,0.00398042188096,0.178472222222,0.173611111111,0.0011434220679,0.0739583333333,0.0694444444444,0.00163134162809,0.426041666667,0.430555555556,0.00163134162809,0.321527777778,0.326388888889,0.0011434220679
emotion,448,0.712129661211,0.710980152467,0.000425820627202,0.925274399069,0.923771782497,0.000352756030185,0.791182118736,0.796232376287,0.000478251998359,0.291183035714,0.292410714286,0.000659914600606,0.0401785714286,0.0401785714286,0.00012356505102,0.459821428571,0.459821428571,0.00012356505102,0.208816964286,0.207589285714,0.000659914600606
emotion regulation,158,0.710490842819,0.711837749743,0.000815488031467,0.941941976711,0.94068627451,0.00132497513083,0.785131521278,0.788673126196,0.00172326693366,0.271518987342,0.272151898734,0.00131749719596,0.0351265822785,0.0348101265823,0.000598762217593,0.464873417722,0.465189873418,0.000598762217593,0.228481012658,0.227848101266,0.00131749719596
fMRI,270,0.717304958941,0.721048683643,0.000810639943331,0.941284605156,0.938245356794,0.000864466986176,0.790275065479,0.798002672526,0.0013476715365,0.276851851852,0.277777777778,0.00134413580247,0.0340740740741,0.037037037037,0.000358847736626,0.465925925926,0.462962962963,0.000358847736626,0.223148148148,0.222222222222,0.00134413580247
individual differences,214,0.658605003673,0.666189168682,0.00386160818188,0.725156062968,0.725700378526,0.00393474493885,0.614966518241,0.630541092198,0.00491749733359,0.265186915888,0.264018691589,0.00199116735086,0.154906542056,0.151869158879,0.00154221984453,0.345093457944,0.348130841121,0.00154221984453,0.234813084112,0.235981308411,0.00199116735086
language,204,0.631660999506,0.630100749998,0.000928177662467,0.883603050581,0.899305728088,0.00190228215161,0.696625422115,0.705299900895,0.00166109555894,0.188725490196,0.186274509804,0.000926326412918,0.0688725490196,0.0588235294118,0.000839761149558,0.43112745098,0.441176470588,0.000839761149558,0.311274509804,0.313725490196,0.000926326412918
learning,142,0.62400315016,0.65353968254,0.00812391898246,0.689954159789,0.709861111111,0.00900651604006,0.536964371948,0.541111910483,0.0065487995019,0.214084507042,0.200704225352,0.00171791311248,0.183802816901,0.179577464789,0.00321315215235,0.316197183099,0.320422535211,0.00321315215235,0.285915492958,0.299295774648,0.00171791311248
memory,252,0.676988492957,0.669735686282,0.00101307150706,0.787658469524,0.791703319744,0.0058483810421,0.660736349012,0.662019244894,0.0038180184167,0.244642857143,0.248015873016,0.000775187389771,0.118849206349,0.119047619048,0.00206833427816,0.381150793651,0.380952380952,0.00206833427816,0.255357142857,0.251984126984,0.000775187389771
motivation,148,0.695472299482,0.698112813713,0.00191319457822,0.864277341638,0.874624183007,0.00602507871424,0.708959123718,0.73321901615,0.00752148111198,0.245608108108,0.253378378378,0.00190045197224,0.0817567567568,0.0743243243243,0.00254702337473,0.418243243243,0.425675675676,0.00254702337473,0.254391891892,0.246621621622,0.00190045197224
music,228,0.695079043777,0.693387862363,0.00077864607756,0.973817930926,0.992153846154,0.000948058976634,0.786868603216,0.79209020668,0.00113193840356,0.239912280702,0.236842105263,0.00101204216682,0.0166666666667,0.00438596491228,0.000410895660203,0.483333333333,0.495614035088,0.000410895660203,0.260087719298,0.263157894737,0.00101204216682
