article id,fp ratio,fp count,support,title,original keywords
fpsyg.2016.00210,1.0,422,422,Early Prosodic Acquisition in Bilingual Infants: The Case of the Perceptual Trochaic Bias,bilinguals;infants;language;prosody;lexical stress;dominance effects
fpsyg.2016.01035,1.0,435,435,Editorial: Linguistic Influences on Mathematics,language;numerical cognition;psychology of arithmetic;verbal counting systems;cross-linguistic research
fpsyg.2016.00678,1.0,380,380,The Bilingual Disadvantage in Speech Understanding in Noise Is Likely a Frequency Effect Related to Reduced Language Exposure,speech understanding in noise;bilingual;working memory;frequency effect;spoken word recognition
fpsyg.2014.00398,1.0,353,353,Is there a bilingual advantage in the ANT task? Evidence from children,bilingual advantage;inhibitory skills;executive control;attention;ANT task
fpsyg.2011.00351,1.0,377,377,The Time Course of Emotion Effects in First and Second Language Processing: A Cross Cultural ERP Study with German Spanish Bilinguals,emotion;visual word recognition;bilinguals;second language processing;ERPs
fpsyg.2014.01367,1.0,410,410,On extending experimental findings to clinical application: Never too late? An advantage on tests of auditory attention extends to late bilinguals,bilingual;clinical assessments;vocabulary acquisition;attention;second language learning
fpsyg.2014.01539,1.0,419,419,Effects of script similarity on bilingual advantages in executive control are likely to be negligible or null,bilingual advantages;executive functioning;cognition;orthography;script
fpsyg.2012.00115,1.0,386,386,Cognitive Control in Russian German Bilinguals,Flanker task;ERN;Wisconsin Card Sorting Test;conflict monitoring;inhibition;late bilinguals;cognitive control;executive function
fpsyg.2015.00351,1.0,383,383,"The way you say it, the way I feel it: emotional word processing in accented speech",emotion;affective valence;native and foreign accent;spoken word processing;event-related potentials
fpsyg.2015.01899,0.9852216748768473,400,406,"Editorial: Phonological and Phonetic Competence: Between Grammar, Signal Processing, and Neural Activity",prosody;phonetics;phonology;speech perception;speech production;language development;language change
fpsyg.2013.00689,0.9851851851851852,399,405,Word frequency cues word order in adults: cross-linguistic evidence,language acquisition;speech perception;morphosyntax;cross-linguistic analysis;word frequency;corpus analysis;anchoring hypothesis
fpsyg.2014.00651,0.9778325123152709,397,406,The influence of non-native language proficiency on speech perception performance,English proficiency;native;non-native;speech perception;informational masking;energetic masking;working memory
fpsyg.2016.00939,0.9751861042183623,393,403,Exaggeration of Language-Specific Rhythms in English and French Children's Songs,rhythm;development;infancy;music;speech;infant-directed modification
fpsyg.2011.00227,0.9587628865979382,372,388,"Abstract and Concrete Sentences, Embodiment, and Languages",abstract concepts;embodiment;sociallinguistic experience;cross-language comparison;parallel processing
fpsyg.2014.00550,0.9290953545232273,380,409,Executive functioning and reading achievement in school: a study of Brazilian children assessed by their teachers as poor readers ,executive function;reading;working memory;cognitive flexibility;selective attention;inhibition;poverty;learning difficulties
fpsyg.2015.01801,0.9242053789731052,378,409,Syllable Structure Universals and Native Language Interference in Second Language Perception and Production: Positional Asymmetry and Perceptual Links to Accentedness,native language neural commitment;phonetic learning;speech perception;speech production;accentedness;syllable structure;allophonic variations
fpsyg.2016.00813,0.8985507246376812,310,345,"Distinct Effects of Lexical and Semantic Competition during Picture Naming in Younger Adults, Older Adults, and People with Aphasia",word selection;lexical access;semantics;picture naming;aging;aphasia;left prefrontal cortex
fpsyg.2012.00479,0.871536523929471,346,397,Linguistic Processing of Accented Speech Across the Lifespan,infancy;childhood;aging;accent adaptation;speech perception
fpsyg.2013.00942,0.8604651162790697,333,387,Similar digit-based working memory in deaf signers and hearing non-signers despite digit span differences,deaf signers;working memory;short-term memory;phonological similarity;cross-culture
fpsyg.2015.01843,0.8463541666666666,325,384,Spelling Acquisition in English and Italian: A Cross-Linguistic Study,spelling acquisition;orthographic consistency;cross-linguistic comparison;lexical effects;children
