article id,fp ratio,fp count,support,title,original keywords
fpsyg.2015.00853,1.0,583,583,Connecting the conceptual dots in embodied cognition: A commentary on How body balance influences political party evaluations: a Wii balance board study ,embodied cognition;psychological mechanisms;conceptual metaphors;conceptual grounding;task analysis
fpsyg.2016.00554,1.0,560,560,"Corrigendum: Where am I? Who am I? The Relation Between Spatial Cognition, Social Cognition, and Individual Differences in the Built Environment",spatial cognition;social cognition;navigation;personality;reference frames;allocentric frame of reference;egocentric frame of reference;cognitive neuroscience
fpsyg.2015.01560,1.0,551,551,A commentary on theory of mind,mind-reading;behavior-reading;children;animals;modularity of mind
fpsyg.2016.00064,1.0,520,520,"Where am I? Who am I? The Relation Between Spatial Cognition, Social Cognition and Individual Differences in the Built Environment",spatial cognition;social cognition;navigation;personality;reference frames;allocentric frame of reference;egocentric frame of reference;cognitive neuroscience
fpsyg.2016.00843,1.0,563,563,Exercising for the Pleasure and for the Pain of It: The Implications of Different Forms of Hedonistic Thinking in Theories of Physical Activity Behavior,hedonism;hedonic theory;pleasure-pain principle;emotion regulation;affect;exercise behavior;persuasion;emotional reasons for action
fpsyg.2015.00841,1.0,539,539,The image of mind in the language of children with autism,autism;language;grammar;reference;deixis;pronouns;communication
fpsyg.2015.02047,1.0,595,595,Book Review: Memory: A History,memory;history of philosophy;history of psychology;theoretical psychology;collective memory
fpsyg.2015.00328,1.0,544,544,Advancing understanding of executive function impairments and psychopathology: bridging the gap between clinical and cognitive approaches,psychopathology;executive function;inhibition;shifting;working memory;methods;transdiagnostic
fpsyg.2014.00432,1.0,549,549,Implication of the anterior commissure in the allocation of attention to action,attention;action system;anterior commissure;corpus callosum;goal-directed action
fpsyg.2015.01398,1.0,569,569,Embodiment and enculturation: the future of architectural design,embodiment;enculturation;evolution;architecture;social cognition
fpsyg.2016.00358,1.0,526,526,How Can We Study the Evolution of Animal Minds?,cognitive ecology;natural selection;heredity;brood parasites;fitness cost;individual differences;path analysis
fpsyg.2014.01385,1.0,561,561,The origin of consciousness and beyond,consciousness;evolution;self concept;epistemology;psychology
