keyword,articles tested,score mean,score median,score var,tp mean,tp median,tp var,fp mean,fp median,fp var,tn mean,tn median,tn var,fn mean,fn median,fn var

aging,204,0.832166971775,0.832147067246,0.000481927906772,88.97,89.0,8.9891,19.6,20.0,7.32,82.4,82.0,7.32,13.03,13.0,8.9891

anxiety,146,0.857042030459,0.861112568435,0.000741860360561,62.63,63.0,7.9731,10.15,10.0,4.1275,62.85,63.0,4.1275,10.37,10.0,7.9731

attention,480,0.768369365634,0.768958940459,0.000213871387339,190.0,190.0,20.64,58.58,58.0,17.5836,181.42,182.0,17.5836,50.0,50.0,20.64

bilingualism,168,0.960539001491,0.960887989034,0.000148230828867,81.81,82.0,1.7739,4.2,4.0,2.3,79.8,80.0,2.3,2.19,2.0,1.7739

children,198,0.809853765008,0.815276958017,0.000824870745965,78.12,78.0,13.0256,16.91,17.0,9.5619,82.09,82.0,9.5619,20.88,21.0,13.0256

cognition,238,0.669676602102,0.671102292567,0.000757058024356,81.36,81.0,21.5104,39.59,40.0,13.4219,79.41,79.0,13.4219,37.64,38.0,21.5104

cognitive control,170,0.821832963183,0.823440149739,0.000572750355492,77.06,77.0,4.5164,19.59,20.0,5.7619,65.41,65.0,5.7619,7.94,8.0,4.5164

consciousness,288,0.859640720982,0.859430987436,0.000154560044027,129.58,129.5,10.0836,24.04,24.0,2.5584,119.96,120.0,2.5584,14.42,14.5,10.0836

decision making,150,0.85286017134,0.853937581423,0.0007047087413,68.45,68.0,5.4475,13.97,14.0,4.3491,61.03,61.0,4.3491,6.55,7.0,5.4475

depression,190,0.890584988559,0.891701414418,0.00034204231187,86.02,86.0,5.4996,11.1,11.0,4.61,83.9,84.0,4.61,8.98,9.0,5.4996

development,196,0.765903027317,0.765763201015,0.00112770491084,74.1,74.0,15.21,21.85,22.0,14.6075,76.15,76.0,14.6075,23.9,24.0,15.21

embodied cognition,176,0.854877771828,0.856486173672,0.000457067576438,77.27,77.0,6.7971,13.69,13.0,3.2139,74.31,75.0,3.2139,10.73,11.0,6.7971

embodiment,144,0.800257169998,0.80428182382,0.000854409868098,60.16,60.0,7.6344,15.49,15.0,6.5299,56.51,57.0,6.5299,11.84,12.0,7.6344

emotion,448,0.819511770031,0.819515267869,0.000183442637465,190.63,190.5,19.6331,44.77,45.0,11.5571,179.23,179.0,11.5571,33.37,33.5,19.6331

emotion regulation,158,0.862690740643,0.862846284798,0.000541673086224,70.69,71.0,4.6739,12.41,12.0,5.0419,66.59,67.0,5.0419,8.31,8.0,4.6739

fMRI,270,0.902238582766,0.902934747251,0.000212016729939,125.86,126.0,5.6604,16.21,16.0,6.0459,118.79,119.0,6.0459,9.14,9.0,5.6604

individual differences,214,0.686914947885,0.691250407704,0.00111238235946,75.29,75.0,17.1059,33.68,34.0,16.0176,73.32,73.0,16.0176,31.71,32.0,17.1059

language,204,0.770450119241,0.771432368183,0.00092592175269,79.33,79.0,15.0211,23.36,23.0,11.1904,78.64,79.0,11.1904,22.67,23.0,15.0211

learning,142,0.678879640839,0.678837312113,0.00178063598516,49.4,49.5,11.82,22.8,23.0,11.94,48.2,48.0,11.94,21.6,21.5,11.82

memory,252,0.726419043989,0.72813648221,0.000677165714177,96.22,97.0,23.0716,36.72,37.0,13.5816,89.28,89.0,13.5816,29.78,29.0,23.0716

motivation,148,0.821064235562,0.821057512092,0.00102287052607,61.98,61.0,9.5796,13.67,13.0,5.4811,60.33,61.0,5.4811,12.02,13.0,9.5796

music,228,0.935894273221,0.936063571976,0.000259710732409,107.99,108.0,5.1899,8.34,8.0,5.5244,105.66,106.0,5.5244,6.01,6.0,5.1899

perception,204,0.70695611707,0.70713754834,0.00154035046179,70.96,71.0,21.2184,28.57,29.0,19.1451,73.43,73.0,19.1451,31.04,31.0,21.2184

schizophrenia,184,0.923838261151,0.925491035023,0.000260115650667,86.2,86.0,3.28,7.77,8.0,3.9971,84.23,84.0,3.9971,5.8,6.0,3.28

social cognition,170,0.763308772315,0.762896019134,0.000873227783743,67.03,67.0,11.2691,20.8,21.0,8.0,64.2,64.0,8.0,17.97,18.0,11.2691

speech perception,168,0.923224925373,0.922299910765,0.000349503682064,77.68,78.0,5.7576,6.41,6.0,2.2019,77.59,78.0,2.2019,6.32,6.0,5.7576

working memory,320,0.831325552243,0.832902120028,0.000296534571695,138.35,139.0,13.4475,30.31,30.0,12.9139,129.69,130.0,12.9139,21.65,21.0,13.4475

