article id,fp ratio,fp count,support,title,original keywords
fpsyg.2015.00853,1.0,300,300,Connecting the conceptual dots in embodied cognition: A commentary on How body balance influences political party evaluations: a Wii balance board study ,embodied cognition;psychological mechanisms;conceptual metaphors;conceptual grounding;task analysis
fpsyg.2013.00885,1.0,342,342,Sensory motor mechanisms unify psychology: the embodiment of culture,embodied cognition;distance perception;motor effort;culture;self-construal
fpsyg.2014.00811,1.0,322,322,The body and the fading away of abstract concepts and words: a sign language analysis,abstract concepts;abstract words;Italian Sign Language (LIS);sign languages;embodied cognition;metaphor;signs;iconicity
fpsyg.2014.00757,1.0,342,342,"Embodied cognition, abstract concepts, and the benefits of new technology for implicit body manipulation",embodied cognition;body manipulation;conceptual metaphors;abstract concepts;wii balance board
fpsyg.2011.00067,1.0,327,327,The Cultural Constitution of Cognition: Taking the Anthropological Perspective,cognitive science;anthropology;cognition;culture;interdisciplinarity
fpsyg.2014.00359,1.0,334,334,Toward a more embedded/extended perspective on the cognitive function of gestures,gestures;embodied cognition;embedded cognition;extended cognition
fpsyg.2014.00506,1.0,341,341,Developing embodied cognition: insights from children s concepts and language processing,developmental science;embodied cognition;language development;sensorimotor processing;action;concepts
fpsyg.2016.00064,1.0,317,317,"Where am I? Who am I? The Relation Between Spatial Cognition, Social Cognition and Individual Differences in the Built Environment",spatial cognition;social cognition;navigation;personality;reference frames;allocentric frame of reference;egocentric frame of reference;cognitive neuroscience
fpsyg.2014.00743,1.0,370,370,NIRS in motion unraveling the neurocognitive underpinnings of embodied numerical cognition,embodied cognition;functional near-infrared spectroscopy (fNIRS);numerical cognition;motion;imaging techniques
fpsyg.2014.01467,1.0,337,337,Bringing back the body into the mind: gestures enhance word learning in foreign language,language learning;gesture;embodiment and grounded cognition;memory;education methods;brain
fpsyg.2014.01266,1.0,350,350,Going along with or taking along with: a cooperation continuum in autism?,cooperation;development;autism;social interaction;collaboration
fpsyg.2011.00260,1.0,337,337,When Digits Help Digits: Spatial Numerical Associations Point to Finger Counting as Prime Example of Embodied Cognition,embodied cognition;finger counting;numerical cognition
fpsyg.2016.00359,1.0,326,326,"Affective Scaffolds, Expressive Arts, and Cognition",scaffolding;extended mind;emotion;expressive arts;social cognition;therapy;conflict resolution
fpsyg.2012.00582,1.0,321,321,Embodied Cognition: Taking the Next Step,embodied;cognition;semantics;embedded cognition;hypothesis generation
fpsyg.2014.00410,1.0,338,338,Eye movements during listening reveal spontaneous grammatical processing,language;eye movements;linguistic theory;embodied cognition;perceptual simulation
fpsyg.2014.01181,1.0,320,320,Commodities and cognition,Sohn-Rethel;cognition;commodities;apriorism;empiricism
fpsyg.2015.00660,1.0,360,360,How to go beyond the body: an introduction,embodied cognition;grounded cognition;extended cognition;perception;action;concepts
fpsyg.2016.00266,1.0,299,299,Mind Invasion: Situated Affectivity and the Corporate Life Hack,affect;emotion;situatedness;scaffolding;mind invasion;normativity;workplace
fpsyg.2015.00444,1.0,325,325,The role of language in emotion: predictions from psychological constructionism,language;emotion;psychological constructionism;concept acquisition;emotional development;concept knowledge;abstract concepts
fpsyg.2012.00279,1.0,342,342,"Synesthesia, Sensory-Motor Contingency, and Semantic Emulation: How Swimming Style-Color Synesthesia Challenges the Traditional View of Synesthesia",synesthesia;sensory-motor contingency;simulation;hyperbinding;emulative semantics;frames;embodied cognition;mirror neuron system
fpsyg.2014.00869,1.0,306,306,A latch on priming,coding;model;mixed selectivity;neural network;noise;reinforcement learning;semantic;working memory
fpsyg.2016.00245,1.0,330,330,Probing the Cultural Constitution of Causal Cognition A Research Program,causal cognition;culture;language;methods;interdisciplinary approach
fpsyg.2015.01929,1.0,338,338,Editorial: Dynamics of Sensorimotor Interactions in Embodied Cognition,embodied cognition;grounded cognition;situated cognition;sensorimotor interactions;memory;action;perception;emotion
fpsyg.2013.00538,1.0,345,345,Freedom of the mind,meditation;consciousness;nondual awareness;mindfulness;mind wandering
fpsyg.2011.00090,1.0,324,324,"Metaphors are Embodied, and so are Their Literal Counterparts",embodied cognition;orientational metaphors;language comprehension;action-related language;positive valence;negative valence
fpsyg.2015.00658,1.0,342,342,The architecture of embodied cue integration: insight from the motivation as cognition perspective,concept activation;cue integration;embodied cognition;feature integration;goal systems theory;motivation as cognition;social cognition
fpsyg.2016.00991,1.0,353,353,"Editorial: The Balanced Triad of Perception, Action, and Cognition",perception;action;cognition;embodied cognition;imitation;self-concept
fpsyg.2014.01149,1.0,360,360,Cognition around the world,cognition;psychology;socio-cultural anthropology;universality;cultural variability
fpsyg.2015.02046,1.0,331,331,"Editorial: Multisensory Integration: Brain, Body, and World",multisensory integration;body representation;attentional deployment;emotional processing;numerical cognition;language;embodied reasoning;time processing
fpsyg.2014.00874,1.0,326,326,We can work it out: an enactive look at cooperation,cooperation;development;autism;infancy;social interaction;participatory sense-making
fpsyg.2015.00056,1.0,339,339,Body in mind,body in mind;tactile;touch;somatosensory;attention;Somatosensory Evoked Potentials (SEP)
fpsyg.2014.00720,1.0,343,343,"Emotion in languaging: languaging as affective, adaptive, and flexible behavior in social interaction",first order languaging;second order language;affective stance;ecological naturalization;inter-affectivity;emotion;sense making
fpsyg.2014.00716,1.0,364,364,In search of conceptual frameworks for relating brain activity to language function,multilingual;bilingualism;second language acquisition;second language processing;neurolinguistics;psycholinguistics;models;theoretical
fpsyg.2013.00058,1.0,358,358,Embodied Cognition is Not What you Think it is,embodied cognition;dynamical systems;replacement hypothesis;robotics;outfielder problem;A-not-B error;language
fpsyg.2015.00929,1.0,329,329,What do we think we are doing: principles of coupled self-regulation in human-robot interaction (HRI),human-robot interaction (HRI);embodied cognition;self-regulation;goal pursuit;teamwork
fpsyg.2015.01690,1.0,325,325,Words as cultivators of others minds,linguification;embodied cognition;derived embodiment;back door entry;linguistic handle;other minds;first-order language
fpsyg.2013.00294,1.0,312,312,The Functional Role of the Periphery in Emotional Language Comprehension,embodied cognition;language comprehension;simulation;facial feedback;emotion;botox;motor control;constraint satisfaction
fpsyg.2014.00009,1.0,337,337,Narrative or self-feeling? A historical note on the biological foundation of the depressive situation ,depression;history of psychiatry;depersonalization;self-feeling;self-awareness
fpsyg.2011.00116,1.0,338,338,Flexibility in Embodied Language Understanding,embodied;language;neuroimaging;fMRI;EEG;semantics
